地方公共団体コード,地方公共団体コード6桁,地方公共団体名,都道府県名,都道府県名または市町村名,状態,Q1【回答対象：全団体】オープンデータについて、どの程度ご存知ですか。当てはまるものを１つ選択してください。,Q2【回答対象：全団体】オープンデータについて、組織全体での認知度（知っている、知っているが詳細は分からない）はどの程度でしょうか？おおよその判断で構いませんので割合を1つ選択してください。,Q3【回答対象：全団体】貴団体はオープンデータに取り組んでいますか？,Q4【回答対象：まだオープンデータに取り組んでいない団体のみ】オープンデータの公開開始予定時期について、当てはまるものを１つ選択してください。,Q5【回答対象：まだオープンデータに取り組んでいない団体、かつ上記設問で「未計画」を選択した場合のみ】その理由を具体的にお答えください。,Q6【回答対象：全団体】貴団体のオープンデータの更新頻度について、当てはまるものを１つ選択してください。,Q7【回答対象：全団体】オープンデータとして公開されているファイル数について、当てはまるものを１つ選択してください。,Q8【回答対象：全団体】オープンデータ作成の現状として当てはまるものを選択してください。（該当するものをすべて選択してください）,Q9【回答対象：上記設問で「その他」を選択した場合のみ】具体的な内容をご記載ください。,Q10【回答対象：全団体】貴団体における過去4年間（令和3年度以降）に生まれたオープンデータ利活用事例において、当てはまるものを全て選択してください。,Q11【回答対象：上記設問で「その他、オープンデータを活用した事例がある」を選択した場合のみ】その具体的な内容をお答えください。事例を掲載したURL等でも構いません。,Q12【回答対象：全団体】オープンデータに取り組むにあたっての（未着手の団体の場合、着手することを含む）貴団体の課題や問題点について、最も優先度の高いものを選択してください。,Q13【回答対象：上記設問で「その他」を選択した場合のみ】その具体的な内容をお答えください。,Q14【回答対象：全団体】オープンデータに取り組むにあたり、貴団体が必要と考える支援（未着手の団体の場合、着手することを含む）について、最も優先度の高いものを選択してください。,Q15【回答対象：上記設問で「その他」を選択した場合のみ】その具体的な内容をお答えください。,Q16【回答対象：オープンデータ取組の質評価指標について「知っている」団体のみ】オープンデータ取組の質評価指標を利用したことがありますか？,Q17【回答対象：オープンデータ取組の質評価指標について「知っている」団体のみ】オープンデータ取組の質評価指標についてのご意見をお聞かせください。利用したことがある方は感想や改善点、利用したことがない方は利用しなかった理由をお答えください。,Q18【回答対象：オープンデータ研修資料について「知っている」団体のみ】オープンデータ研修資料を利用したことがありますか？,Q19【回答対象：オープンデータ研修資料について「知っている」団体のみ】オープンデータ研修資料についてのご意見をお聞かせください。利用したことがある方は感想や改善点、利用したことがない方は利用しなかった理由をお答えください。,Q20【回答対象：データの二次利用を推進するための契約書アドオンについて「知っている」団体のみ】データの二次利用を推進するための契約書アドオンを利用したことがありますか？,Q21【回答対象：データの二次利用を推進するための契約書アドオンについて「知っている」団体のみ】データの二次利用を推進するための契約書アドオンについてのご意見をお聞かせください。利用したことがある方は感想や改善点、利用したことがない方は利用しなかった理由をお答えください。,Q22【回答対象：オープンデータサポート団体について「知っている」団体のみ】オープンデータサポート団体の制度を利用したことがありますか？,Q23【回答対象：オープンデータサポート団体について「知っている」団体のみ】オープンデータサポート団体についてのご意見をお聞かせください。利用したことがある方は感想や改善点、利用したことがない方は利用しなかった理由をお答えください。,Q24【回答対象：全団体】自治体標準オープンデータセットのフォーマットでオープンデータの公開に取り組んでいますか。,Q25【回答対象：すでに自治体標準ODSで公開している団体のみ】自治体標準オープンデータセットに準拠して公開しているデータがある場合、該当するデータを全て選択してください。,Q26【回答対象：すでに自治体標準ODSで公開している団体のみ】自治体標準オープンデータセットのデータモデル型での公開を行っていますか。,Q27【回答対象：データモデル型での公開を行っている団体のみ】自治体標準オープンデータセット（データモデル型）に準拠して公開しているデータがある場合、該当するデータを全て選択してください。,Q28【回答対象：すでに自治体標準ODSで公開している団体のみ】自治体標準オープンデータセットを作成するときに、困ったことがあれば選択してください。（該当するものをすべて選択してください）,Q29【回答対象：すでに自治体標準ODSで公開している団体のみ】上記設問で「その他」を選択した場合、具体的な内容をご記載ください。,Q30【回答対象：すでに自治体標準ODSで公開している団体、または今後取り組む予定のある団体のみ回答】今後、自治体標準オープンデータセットに準拠した公開を予定している、または公開を検討したいデータについて、該当するデータを全て選択してください。（該当するものをすべて選択してください）,Q31【回答対象：上記設問で「公開を検討すべき自治体標準オープンデータセットはない」を選択した場合のみ】その理由を選択してください。（該当するものをすべて選択してください）,Q32【回答対象：上記設問で「その他」を選択した場合のみ】具体的な内容をご記載ください。,Q33【回答対象：すでに自治体標準ODSで公開している団体、または今後取り組む予定のある団体のみ】データを公開することが困難な自治体標準オープンデータセットについて、該当するデータを全て選択してください。（該当するものをすべて選択してください）,Q34【回答対象：上記設問で「データを公開することが困難な自治体標準オープンデータセット」を選択した場合のみ】選択したデータ毎にその理由をご記載ください。,Q35【回答対象：すでに自治体標準ODSで公開している団体、または今後取り組む予定のある団体のみ】自治体標準オープンデータセット以外のデータを公開予定であり、そのデータを自治体標準オープンデータセットへ追加することを希望する場合、その具体的なデータセットをお答えください。,Q36【回答対象：すでに自治体標準ODSで公開している団体、または今後取り組む予定のある団体のみ】既存の自治体標準オープンデータセットに、フィールドを追加したいデータセットがあれば選択してください。（該当するものをすべて選択してください）,Q37【回答対象：上記設問で「フィールドを追加したい自治体標準オープンデータセット」を選択した場合のみ】選択したデータセット毎にその項目をご記載ください。,Q38【回答対象：すでに自治体標準ODSで公開している団体、または今後取り組む予定のある団体のみ】自治体標準オープンデータセットについて、設問以外のご意見やご要望があればご記入ください。,Q39【回答対象：デジタル庁の今後のオープンデータの取組にご意見をいただける団体のみ】オープンデータの公開と合わせてメタデータの公開を行っていますか？,Q40【回答対象：デジタル庁の今後のオープンデータの取組にご意見をいただける団体のみ】別紙1 「➁自治体標準オープンデータセット　オープンデータ一覧（改定案）」のフォーマットでオープンデータのメタデータを公開する事は可能でしょうか？,Q41【回答対象：上記設問で「困難」または「非常に困難」を選択した場合のみ】その理由をお答えください。（該当するものをすべて選択してください）,Q42【回答対象：上記設問で「その他」を選択した場合のみ】その内容を具体的にお答えください。,Q43【回答対象：デジタル庁の今後のオープンデータの取組にご意見をいただける団体のみ】別紙1 「③オープンデータの機械判読性段階モデル（案）」について、分かりやすい内容だと思いますか。,Q44【回答対象：デジタル庁の今後のオープンデータの取組にご意見をいただける団体のみ】別紙1 「③オープンデータの機械判読性段階モデル（案）」について、現在公表しているデータはどの段階に該当しますか。おおよその感触で構いません。（該当するものをすべて選択してください）,Q45【回答対象：上記設問で「その他」を選択した場合のみ】オープンデータの機械判読性段階モデル（案）に当てはまらないケースをご記載ください。,Q46【回答対象：デジタル庁の今後のオープンデータの取組にご意見をいただける団体のみ】別紙1 「③オープンデータの機械判読性段階モデル（案）」について、少しづつでも段階を上げていく取組を進めることが可能だと思いますか。,Q47【回答対象：デジタル庁の今後のオープンデータの取組にご意見をいただける団体のみ】機械判読可能なオープンデータを増やす取組を進めるために最も有効だと思う支援を選択してください。,Q48【回答対象：上記設問で「その他」を選択した場合のみ】具体的に必要な支援内容をご記載ください。,Q49【回答対象：デジタル庁の今後のオープンデータの取組にご意見をいただける団体のみ】別紙1 「③オープンデータの機械判読性段階モデル（案）」について、改善すべき点等お気づきの点があればお聞かせください。,Q50【回答対象：デジタル庁の今後のオープンデータの取組にご意見をいただける団体のみ】現在の、貴団体の公式Webサイトの掲載内容に関する利用規約（ライセンス）についてお答えください。,Q51【回答対象：公式Webサイトの掲載内容に関する利用規約が政府標準利用規約の自治体のみ】貴団体の公式Webサイトの掲載内容に関する利用規約（ライセンス）を政府標準利用規約に変更した理由を教えてください。（該当するものをすべて選択してください）,Q52【回答対象：上記設問で「その他」を選択した場合のみ】具体的な内容をご記載ください。,Q53【回答対象：デジタル庁の今後のオープンデータの取組にご意見をいただける団体のみ】自治体の公式Webサイトの著作権(ライセンス)が自団体で困ったことがあれば教えてください。（該当するものをすべて選択してください）,Q54【回答対象：上記設問で「その他」を選択した場合のみ】具体的な内容をご記載ください。,Q55【回答対象：デジタル庁の今後のオープンデータの取組にご意見をいただける団体のみ】貴団体の公式Webサイトの掲載内容に関する利用規約を仮に公共データ利用規約に変更しようとした場合、どのような課題があると考えられますか？,Q56【回答対象：上記設問で「その他」を選択した場合のみ】具体的な内容をご記載ください。,Q57【回答対象：全団体】アドレス・ベース・レジストリ・ジオコーダー（ABRジオコーダー）をデジタル庁より行政機関向けに無料での提供を予定していますが、オープンデータに位置座標を整備する際をはじめ、どのような業務で利用できそうか、ご意見をお聞かせください。,Q58【回答対象：全団体】オープンデータの取組全般について、設問以外のご意見やご要望があればご記入ください。
30401,304018,和歌山県 白浜町,和歌山県,白浜町,提出済,知っているが詳細は分からない,10%未満,取組んでいる,2024年度中(令和6年度中),,不定期（年に数回）で更新を行っているオープンデータがある,10以下,紙のデータを手動で入力してオープンデータを作成している,,住民サービスの向上につながったオープンデータ活用事例がある;災害時や緊急事態といった事象におけるオープンデータ利活用事例がある;民間事業者と連携したオープンデータ活用事例がある,,オープンデータを担当する人的リソースがない,,システム導入に関するコンサルティング,,,,,,,,,,知っているがまだ取り組んでいない,,,,,,,,,,,,,,,行っていない,時間はかかるが可能,,,わかりやすい,0　 (どんな形式でもよいので)あなたのデータをオープンライセンスでWeb上に公開しましょう,,時間はかかるが可能,必要なソフトウェアやツールの提供,,,自団体,,,Webサイトの情報を使って良いか問い合わせが多い,,既存の掲載内容（コンテンツ）に対する権利関係の確認が大変である,,固定資産管理不動産登記空き家バンク,
30404,304042,和歌山県 上富田町,和歌山県,上富田町,未提出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30406,304069,和歌山県 すさみ町,和歌山県,すさみ町,提出済,良く知っている,10%未満,取組んでいる,,,ほとんど更新していない,10以下,システムから出力したファイルを手動で修正してオープンデータを作成している;既存のExcel等表形式のデータを手動で修正してオープンデータを作成している;紙のデータを手動で入力してオープンデータを作成している,,民間事業者と連携したオープンデータ活用事例がある,,予算がない,,オープンデータ作成・公開の作業支援ツール提供,,,,,,,,,,推奨データセットは公開しているが、自治体標準ODSはまだ取り組んでいない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30421,304212,和歌山県 那智勝浦町,和歌山県,那智勝浦町,未提出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30422,304221,和歌山県 太地町,和歌山県,太地町,未確認,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30424,304247,和歌山県 古座川町,和歌山県,古座川町,提出済,知っているが詳細は分からない,10%未満,取組んでいない,未計画,どのような行政データを公開すればよいかがわからない。,オープンデータに取組んでいない,オープンデータに取組んでいない,オープンデータに取り組んでいない,,オープンデータに取組んでいない,,自団体にオープンデータの知識がある職員がいない,,手順等をまとめたガイドラインの整備,,,,,,,,,,まだオープンデータに取組んでいない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30427,304271,和歌山県 北山村,和歌山県,北山村,未確認,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30428,304280,和歌山県 串本町,和歌山県,串本町,提出済,良く知っている,10%未満,取組んでいる,,,不定期（年に数回）で更新を行っているオープンデータがある,10以下,既存のExcel等表形式のデータを手動で修正してオープンデータを作成している,,オープンデータを活用した事例はまだない,,オープンデータを担当する人的リソースがない,,よく分からない,,利用したことがない,,利用したことがない,,利用したことがない,,利用したことがない,,すでに取り組んでいる,"公共施設一覧;標準的なバス情報フォーマット	",行っていない,,"データモデル型のデータを原課に作成してもらうのは困難	",,,,,,,,,,,行っていない,,,,わかりにくい,,,,,,,,,,,,,,,
31000,310000,鳥取県,鳥取県,鳥取県,提出済,良く知っている,よく分からない,取組んでいる,,,リアルタイム（1日に複数回）で更新を行っているデータがある,501～1000,システムから出力したファイルを手動で修正してオープンデータを作成している;既存のExcel等表形式のデータを手動で修正してオープンデータを作成している,,住民サービスの向上につながったオープンデータ活用事例がある,,その他,"データ作成に時間を要している																												",オープンデータ作成・公開の作業支援ツール提供,,,,,,,,,,すでに取り組んでいる,"地域・年齢別人口	;子育て施設一覧	;公衆無線LANアクセスポイント一覧	;医療機関一覧	;標準的なバス情報フォーマット	",行っていない,,"データ形式が異なるため変換に時間がかかる	",,"公共施設一覧	;文化財一覧	;指定緊急避難場所一覧	;オープンデータ一覧	;AED設置箇所一覧	;介護サービス事業所一覧	;観光施設一覧	;イベント一覧	;公衆トイレ一覧	;食品等営業許可・届出一覧	;学校給食献立情報	;ボーリング柱状図等	;都市計画基礎調査情報	;調達情報	;支援制度（給付金）情報	",,,"データモデル型：防災行政無線設置一覧	;データモデル型：教育機関一覧	;データモデル型：公営駐車場一覧	;データモデル型：公営駐輪場一覧	;データモデル型：投票所一覧	;データモデル型：ゴミの分別方法一覧	;データモデル型：赤ちゃんの駅	;データモデル型：ゴミ集積所一覧	;データモデル型：観光ポイント	","データモデル型の項目は公開データ数も多く、まずは従来の項目22項目の公開を優先している																												",,"フィールドを追加したいデータセットはない	",,,行っている,可能,,,わかりやすい,0　 (どんな形式でもよいので)あなたのデータをオープンライセンスでWeb上に公開しましょう;1　できるだけ再利用しやすい形式で公開しましょう（例：PDFよりもワードやパワポ、両方あっても良い）;2　できるだけ元データも再利用しやすい形式で公開しましょう（例：文章と表が同一文書に混じっている場合、表の元データはExcelで公表）;3　できるだけ元データは機械判読可能な構造で公開しましょう（例：表形式データ「整然データの形式で」、複雑な構造「JSON/GeoJSONの形式で」）,,時間はかかるが可能,必要なソフトウェアやツールの提供,,,CC BY 2.1 JP,市民や企業が情報を自由に使えるようにするため;行政の透明性、信頼性の向上のため;データの二次利用を促進するため,,,,関係機関との調整が必要である,,オープンデータ公開時の位置座標の整備,
31201,312011,鳥取県 鳥取市,鳥取県,鳥取市,提出済,良く知っている,80%,取組んでいる,,,不定期（年に数回）で更新を行っているオープンデータがある,1001～5000,システムから出力したファイルを手動で修正してオープンデータを作成している,,オープンデータを活用した事例はまだない,,オープンデータの利活用が進まない,,手順等をまとめたガイドラインの整備,,,,,,,,,,すでに取り組んでいる,"子育て施設一覧	;公衆無線LANアクセスポイント一覧	;AED設置箇所一覧	",行っていない,,"データ形式が異なるため変換に時間がかかる	;元データの項目が不足しているため、必要なデータの収集が難しい;個人情報を含むため公開できない	;データモデル型のデータを原課に作成してもらうのは困難	",,"公共施設一覧	;地域・年齢別人口	;オープンデータ一覧	;イベント一覧	;公衆トイレ一覧	;都市計画基礎調査情報	;標準的なバス情報フォーマット	;データモデル型：教育機関一覧;データモデル型：公営駐車場一覧	;データモデル型：ゴミの分別方法一覧	;データモデル型：ゴミ集積所一覧	",,,"データモデル型：ゴミ集積所一覧	",,地点が膨大で、正確な位置データの作成が困難なため。,"フィールドを追加したいデータセットはない	",,,,,,,,,,,,,,,,,,,,,住民からの問い合わせや申請に対して、正確な位置情報の確認ができる。,
31202,312029,鳥取県 米子市,鳥取県,米子市,提出済,知っているが詳細は分からない,50%,取組んでいる,,,ほとんど更新していない,10以下,システムから出力して、ほとんど手間をかけずにオープンデータを作成している,,よく分からない,,オープンデータの効果・メリット・ニーズが不明確,,先進的な活用事例の公開,,利用したことがない,,,,,,,,推奨データセットは公開しているが、自治体標準ODSはまだ取り組んでいない,,,,,,"公共施設一覧	;文化財一覧	;指定緊急避難場所一覧	;観光施設一覧	",,,"イベント一覧	;学校給食献立情報	",動的データはメンテナンス等運用が困難だから。,,,,,行っていない,,,,,,,,,,,,,,,,,,,
31203,312037,鳥取県 倉吉市,鳥取県,倉吉市,提出済,良く知っている,10%未満,取組んでいない,2024年度中(令和6年度中),,オープンデータに取組んでいない,オープンデータに取組んでいない,オープンデータに取り組んでいない,,オープンデータに取組んでいない,,オープンデータの効果・メリット・ニーズが不明確,,先進的な活用事例の公開,,,,,,,,,,まだオープンデータに取組んでいない,,,,,,"イベント一覧	",,,作成が困難なデータセットはない,,特になし,"フィールドを追加したいデータセットはない	",,特になし,行っていない,困難,"メタデータについて理解できていないメタデータの公開にかかる人的リソースが不足している	メタデータ公開に関する技術的なサポートが不足している	",,どちらとも言えない,その他,まだオープンデータを公表していない,どちらとも言えない,ガイドライン、マニュアルの提供,,,自団体,,,,,利用規約（ライセンス）を変更するメリットがわからない,,建物（公共施設、住居、学校）や災害発生時の避難所公開,
31204,312045,鳥取県 境港市,鳥取県,境港市,提出済,良く知っている,10%未満,取組んでいる,,,ほとんど更新していない,10以下,既存のExcel等表形式のデータを手動で修正してオープンデータを作成している,,オープンデータを活用した事例はまだない,,オープンデータを担当する人的リソースがない,,オープンデータ作成・公開の作業支援,,利用したことがない,,,,,,,,知っているがまだ取り組んでいない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31302,313025,鳥取県 岩美町,鳥取県,岩美町,提出済,知っているが詳細は分からない,10%未満,取組んでいない,2024年度中(令和6年度中),,オープンデータに取組んでいない,オープンデータに取組んでいない,オープンデータに取り組んでいない,,オープンデータを活用した事例はまだない;オープンデータに取組んでいない,,オープンデータにどう取組んで良いか分からない,,オープンデータ作成・公開の作業支援,,,,,,,,,,まだオープンデータに取組んでいない,,,,,,"公共施設一覧	;指定緊急避難場所一覧	;地域・年齢別人口	;公衆無線LANアクセスポイント一覧	;AED設置箇所一覧	;医療機関一覧	;観光施設一覧	;イベント一覧	;公衆トイレ一覧	;消防水利施設一覧	",,,,,,,,,,,,,,,,,,,,,,,,,,,,
31325,313254,鳥取県 若桜町,鳥取県,若桜町,提出済,良く知っている,10%未満,取組んでいない,未計画,オープンデータに関する知識・理解・人員の不足,オープンデータに取組んでいない,オープンデータに取組んでいない,オープンデータに取り組んでいない,,オープンデータに取組んでいない,,オープンデータの効果・メリット・ニーズが不明確,,先進的な活用事例の公開,,,,,,,,,,まだオープンデータに取組んでいない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31328,313289,鳥取県 智頭町,鳥取県,智頭町,提出済,知っているが詳細は分からない,10%未満,取組んでいない,未計画,,オープンデータに取組んでいない,オープンデータに取組んでいない,オープンデータに取り組んでいない,,オープンデータに取組んでいない,,オープンデータを担当する人的リソースがない,,手順等をまとめたガイドラインの整備,,,,,,,,,,まだオープンデータに取組んでいない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31329,313297,鳥取県 八頭町,鳥取県,八頭町,未確認,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31364,313645,鳥取県 三朝町,鳥取県,三朝町,未提出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31370,313700,鳥取県 湯梨浜町,鳥取県,湯梨浜町,提出済,知っているが詳細は分からない,30%,取組んでいない,未計画,事業計画など実現に向けた議論が進んでいないため。,オープンデータに取組んでいない,オープンデータに取組んでいない,オープンデータに取り組んでいない,,オープンデータに取組んでいない,,自団体にオープンデータの知識がある職員がいない,,システム導入に関するコンサルティング,,,,,,,,,,知らない,,,,,,,,,,,,,,,行っていない,,,,,,,,,,,自団体,,,著作権の管理が負担となっている,,利用規約（ライセンス）を変更するメリットがわからない,,不明,特になし
31371,313718,鳥取県 琴浦町,鳥取県,琴浦町,提出済,知っているが詳細は分からない,10%未満,取組んでいない,未計画,,オープンデータに取組んでいない,オープンデータに取組んでいない,オープンデータに取り組んでいない,,オープンデータに取組んでいない,,オープンデータの効果・メリット・ニーズが不明確,,手順等をまとめたガイドラインの整備,,,,,,,,,,まだオープンデータに取組んでいない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31372,313726,鳥取県 北栄町,鳥取県,北栄町,提出済,知っているが詳細は分からない,10%未満,取組んでいる,未計画,,ほとんど更新していない,10以下,よく分からない,,よく分からない,,よく分からない,,よく分からない,,,,,,,,,,よく分からない,"指定緊急避難場所一覧	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31384,313840,鳥取県 日吉津村,鳥取県,日吉津村,未確認,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31386,313866,鳥取県 大山町,鳥取県,大山町,提出済,名前は知っている,10%未満,取組んでいない,2025年度中(令和7年度中),,オープンデータに取組んでいない,オープンデータに取組んでいない,オープンデータに取り組んでいない,,オープンデータに取組んでいない,,オープンデータの利活用が進まない,,関係者の説得支援,,,,,,,,,,まだオープンデータに取組んでいない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31389,313891,鳥取県 南部町,鳥取県,南部町,提出済,知っているが詳細は分からない,30%,取組んでいない,2024年度中(令和6年度中),,オープンデータに取組んでいない,オープンデータに取組んでいない,オープンデータに取り組んでいない,,オープンデータに取組んでいない,,オープンデータを担当する人的リソースがない,,システム導入に関するコンサルティング,,,,,,,,,,まだオープンデータに取組んでいない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31390,313904,鳥取県 伯耆町,鳥取県,伯耆町,提出済,知っているが詳細は分からない,10%未満,取組んでいる,,,ほとんど更新していない,10以下,その他,国土地理院にへの情報提供,オープンデータを活用した事例はまだない,,オープンデータを担当する人的リソースがない,,オープンデータ作成・公開の作業支援ツール提供,,,,,,,,,,知っているがまだ取り組んでいない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分からない,特に無し
31401,314013,鳥取県 日南町,鳥取県,日南町,提出済,知っているが詳細は分からない,30%,取組んでいる,,,ほとんど更新していない,10以下,システムから出力したファイルを手動で修正してオープンデータを作成している;既存のExcel等表形式のデータを手動で修正してオープンデータを作成している;PDFやWebサイトの情報から手動でオープンデータを作成している,,オープンデータを活用した事例はまだない,,オープンデータを担当する人的リソースがない,,その他,人的リソース,,,,,,,,,知っているがまだ取り組んでいない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31402,314021,鳥取県 日野町,鳥取県,日野町,提出済,知っているが詳細は分からない,30%,取組んでいない,未計画,,オープンデータに取組んでいない,オープンデータに取組んでいない,オープンデータに取り組んでいない,,オープンデータに取組んでいない,,オープンデータを担当する人的リソースがない,,よく分からない,,利用したことがない,,利用したことがない,,利用したことがない,,利用したことがない,,知らない,,行っていない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31403,314030,鳥取県 江府町,鳥取県,江府町,提出済,良く知っている,30%,取組んでいる,,,不定期（年に数回）で更新を行っているオープンデータがある,101～500,その他,外部に委託し、スキャナーしたデータとテキスト化したデータをオープンデータサイトに掲載している。,職員の業務負荷低減に繋がったオープンデータ利活用事例がある,,オープンデータの利活用が進まない,,先進的な活用事例の公開,,利用したことがない,,,,,,,,知っているがまだ取り組んでいない,,,,,,"医療機関一覧	",,,作成が困難なデータセットはない,,,"フィールドを追加したいデータセットはない	",,,,,,,,,,,,,,,,,,,,,,
32000,320005,島根県,島根県,島根県,提出済,良く知っている,30%,取組んでいる,,,不定期（年に数回）で更新を行っているオープンデータがある,5001～10000,その他,各原課部門によって異なり、またその出力状況について各原課に確認したことがないため不明,住民サービスの向上につながったオープンデータ活用事例がある,,オープンデータの効果・メリット・ニーズが不明確,,先進的な活用事例の公開,,,,,,,,,,知っているがまだ取り組んでいない,,,,,,,,,,,,,,,行っている,非常に困難,"メタデータの公開にかかるコストが高い	メタデータの公開にかかる人的リソースが不足している	その他",このような公開形式にした場合、国民のだれがどのように受益し、その受益に対してのコストが見合うのか、判断材料が不足しているため,あまりわかりやすくない,2　できるだけ元データも再利用しやすい形式で公開しましょう（例：文章と表が同一文書に混じっている場合、表の元データはExcelで公表）,,困難,その他,機械判読ができれば需要があるという事実が明確ではないため。国民にとって必要とされるサービスを限られたリソースの中で展開することが求められている中、需要が不明瞭なものに対して、関係者（市町村含む）に対し対応を促す理由がないため,公開形式の議論全般がプロダクトアウトに見えており、マーケット側の需要と社会課題解決へのインパクトが測れないため,その他,,,その他,特に困っていません。,変更のための手続きがわからない,,行政が縦割りとなっていることに伴い、オープンデータも乱立しており、また行政サービスのアプリケーションも乱立している状況が散見される中でベースとなるレジストリがあれば、利活用や互いのソフトウェア間でのメディエーションツールとしての役割など活用が考えられるかとおもいます。,オープンデータは、思想としてはSociety5.0に向け良いものだとは思いますが、現実問題として機能している領域は非常に限られたものであると感じます。また情報の階層も観光・医療のような複数の都道府県にまたがるものもあり、誰がどの程度裨益しているのかもわからない中で多忙である職員の稼働をかけてまで複雑な対応となるオープンデータに対応することが納税者のためになるとは思えない側面があります。マーケットインの思考で具体的な事例と活用者を特定しながら進められればと思います。
32201,322016,島根県 松江市,島根県,松江市,提出済,良く知っている,10%未満,取組んでいる,,,定期的更新（週1、月1など）を行っているオープンデータがある,よく分からない,システムから出力して、ほとんど手間をかけずにオープンデータを作成している;既存のExcel等表形式のデータを手動で修正してオープンデータを作成している,,よく分からない,,オープンデータの効果・メリット・ニーズが不明確,,先進的な活用事例の公開,,,,,,,,,,知らない,,,,,,,,,,,,,,,行っていない,困難,"メタデータについて理解できていないメタデータの公開にかかる人的リソースが不足している	メタデータ公開に関する技術的なサポートが不足している	",,わかりやすい,1　できるだけ再利用しやすい形式で公開しましょう（例：PDFよりもワードやパワポ、両方あっても良い）,,困難,他自治体の取り組み事例の共有,,,CC BY 2.1 JP,,,,,,,,
32202,322024,島根県 浜田市,島根県,浜田市,提出済,良く知っている,80%,取組んでいる,,,ほとんど更新していない,11～50,既存のExcel等表形式のデータを手動で修正してオープンデータを作成している,,オープンデータを活用した事例はまだない,,オープンデータの効果・メリット・ニーズが不明確,,オープンデータ作成・公開の作業支援ツール提供,,,,,,,,,,すでに取り組んでいる,"公共施設一覧;公衆無線LANアクセスポイント一覧	;AED設置箇所一覧	",行っていない,,"データ形式が異なるため変換に時間がかかる	;自治体でデータを持っていない	;自治体標準ODSを作成するツールやソフトウェアの使い方がわからない	;データモデル型のデータを原課に作成してもらうのは困難	",,"文化財一覧	;医療機関一覧	;観光施設一覧	",,,作成が困難なデータセットはない,,,"フィールドを追加したいデータセットはない	",,,,,,,,,,,,,,,,,,,,,特になし,
32203,322032,島根県 出雲市,島根県,出雲市,提出済,知っているが詳細は分からない,10%未満,取組んでいる,,,ほとんど更新していない,10以下,よく分からない,,よく分からない,,自団体にオープンデータの知識がある職員がいない,,低価格の導入パッケージ提供,,利用したことがない,,利用したことがない,,利用したことがない,,利用したことがない,,知っているがまだ取り組んでいない,,,,,,,,,,,,,,,,困難,"メタデータについて理解できていないメタデータ公開に関する技術的なサポートが不足している	",,わかりにくい,1　できるだけ再利用しやすい形式で公開しましょう（例：PDFよりもワードやパワポ、両方あっても良い）,,どちらとも言えない,必要なソフトウェアやツールの提供,,,,,,,,既存の掲載内容（コンテンツ）に対する権利関係の確認が大変である,,,
32204,322041,島根県 益田市,島根県,益田市,提出済,良く知っている,10%未満,取組んでいる,,,ほとんど更新していない,10以下,よく分からない,,オープンデータを活用した事例はまだない,,オープンデータの効果・メリット・ニーズが不明確,,オープンデータ作成・公開の作業支援,,,,,,,,,,推奨データセットは公開しているが、自治体標準ODSはまだ取り組んでいない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32205,322059,島根県 大田市,島根県,大田市,未提出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
